ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
2016-0001,1/1/2016,2016,1,1,CONDUCTOR,MOTO,MASCULINO,19,1/1/2016
2016-0002,2/1/2016,2016,1,2,CONDUCTOR,AUTO,MASCULINO,70,2/1/2016
2016-0003,3/1/2016,2016,1,3,CONDUCTOR,MOTO,MASCULINO,30,3/1/2016
2016-0004,10/1/2016,2016,1,10,CONDUCTOR,MOTO,MASCULINO,18,SD
2016-0005,21/1/2016,2016,1,21,CONDUCTOR,MOTO,MASCULINO,29,1/2/2016
2016-0008,24/1/2016,2016,1,24,CONDUCTOR,MOTO,MASCULINO,30,24/1/2016
2016-0009,24/1/2016,2016,1,24,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29,26/1/2016
2016-0010,29/1/2016,2016,1,29,CONDUCTOR,MOTO,MASCULINO,18,29/1/2016
2016-0012,8/2/2016,2016,2,8,CONDUCTOR,MOTO,MASCULINO,22,8/2/2016
2016-0013,10/2/2016,2016,2,10,PEATON,PEATON,MASCULINO,16,10/2/2016
2016-0015,14/2/2016,2016,2,14,PEATON,PEATON,FEMENINO,16,14/2/2016
2016-0016,14/2/2016,2016,2,14,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19,14/2/2016
2016-0017,15/2/2016,2016,2,15,PEATON,PEATON,MASCULINO,59,16/2/2016
2016-0019,17/2/2016,2016,2,17,PEATON,PEATON,FEMENINO,65,17/2/2016
2016-0020,17/2/2016,2016,2,17,PEATON,PEATON,MASCULINO,59,2/3/2016
2016-0021,17/2/2016,2016,2,17,CONDUCTOR,AUTO,MASCULINO,34,17/2/2016
2016-0022,21/2/2016,2016,2,21,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,41,SD
2016-0025,28/2/2016,2016,2,28,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34,28/2/2016
2016-0026,28/2/2016,2016,2,28,CONDUCTOR,AUTO,MASCULINO,30,4/3/2016
2016-0027,28/2/2016,2016,2,28,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34,SD
2016-0028,2/3/2016,2016,3,2,PEATON,PEATON,MASCULINO,50,2/3/2016
2016-0029,4/3/2016,2016,3,4,PEATON,PEATON,MASCULINO,38,4/3/2016
2016-0031,8/3/2016,2016,3,8,CONDUCTOR,MOTO,MASCULINO,21,SD
2016-0034,12/3/2016,2016,3,12,PEATON,PEATON,MASCULINO,52,12/3/2016
2016-0035,13/3/2016,2016,3,13,CONDUCTOR,MOTO,MASCULINO,34,13/3/2016
2016-0036,14/3/2016,2016,3,14,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,36,14/3/2016
2016-0037,19/3/2016,2016,3,19,CONDUCTOR,MOTO,MASCULINO,20,19/3/2016
2016-0038,21/3/2016,2016,3,21,PEATON,PEATON,MASCULINO,29,21/3/2016
2016-0039,23/3/2016,2016,3,23,CONDUCTOR,MOTO,MASCULINO,20,23/3/2016
2016-0041,29/3/2016,2016,3,29,CONDUCTOR,MOTO,MASCULINO,54,29/3/2016
2016-0041,29/3/2016,2016,3,29,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,SD,30/3/2016
2016-0043,30/3/2016,2016,3,30,PEATON,PEATON,FEMENINO,56,30/3/2016
2016-0044,31/3/2016,2016,3,31,CONDUCTOR,MOTO,MASCULINO,24,31/3/2016
2016-0045,11/4/2016,2016,4,11,CONDUCTOR,MOTO,MASCULINO,SD,SD
2016-0047,15/4/2016,2016,4,15,PEATON,PEATON,MASCULINO,41,15/4/2016
2016-0048,15/4/2016,2016,4,15,PEATON,PEATON,FEMENINO,SD,SD
2016-0049,17/4/2016,2016,4,17,SD,SD,SD,SD,SD
2016-0050,19/4/2016,2016,4,19,PEATON,PEATON,MASCULINO,78,19/4/2016
2016-0051,20/4/2016,2016,4,20,CONDUCTOR,MOTO,MASCULINO,36,20/4/2016
2016-0052,20/4/2016,2016,4,20,SD,MOTO,SD,SD,SD
2016-0053,22/4/2016,2016,4,22,PEATON,PEATON,MASCULINO,38,22/4/2016
2016-0054,23/4/2016,2016,4,23,CONDUCTOR,MOTO,MASCULINO,30,25/4/2016
2016-0055,25/4/2016,2016,4,25,PEATON,PEATON,MASCULINO,79,28/4/2016
2016-0056,26/4/2016,2016,4,26,CONDUCTOR,MOTO,MASCULINO,26,26/4/2016
2016-0058,4/5/2016,2016,5,4,PEATON,PEATON,FEMENINO,57,8/5/2016
2016-0059,8/5/2016,2016,5,8,PEATON,PEATON,MASCULINO,37,26/5/2016
2016-0064,14/5/2016,2016,5,14,PEATON,PEATON,MASCULINO,20,SD
2016-0065,20/5/2016,2016,5,20,PEATON,PEATON,MASCULINO,20,20/5/2016
2016-0067,21/5/2016,2016,5,21,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30,SD
2016-0068,22/5/2016,2016,5,22,CONDUCTOR,MOTO,MASCULINO,58,SD
2016-0069,23/5/2016,2016,5,23,CONDUCTOR,AUTO,MASCULINO,30,23/5/2016
2016-0073,11/6/2016,2016,6,11,CONDUCTOR,MOTO,MASCULINO,23,SD
2016-0074,12/6/2016,2016,6,12,CONDUCTOR,AUTO,MASCULINO,60,SD
2016-0075,12/6/2016,2016,6,12,PEATON,PEATON,MASCULINO,42,12/6/2016
2016-0076,13/6/2016,2016,6,13,PEATON,PEATON,FEMENINO,53,13/6/2016
2016-0077,13/6/2016,2016,6,13,PEATON,PEATON,FEMENINO,SD,SD
2016-0078,13/6/2016,2016,6,13,CONDUCTOR,MOTO,MASCULINO,30,SD
2016-0079,16/6/2016,2016,6,16,CONDUCTOR,AUTO,FEMENINO,51,SD
2016-0080,18/6/2016,2016,6,18,CONDUCTOR,AUTO,MASCULINO,60,SD
2016-0081,22/6/2016,2016,6,22,CONDUCTOR,MOTO,MASCULINO,40,SD
2016-0082,27/6/2016,2016,6,27,PEATON,PEATON,MASCULINO,87,5/7/2016
2016-0083,28/6/2016,2016,6,28,PEATON,PEATON,FEMENINO,76,29/6/2016
2016-0084,29/6/2016,2016,6,29,PEATON,PEATON,MASCULINO,57,8/7/2016
2016-0085,29/6/2016,2016,6,29,SD,MOTO,MASCULINO,SD,SD
2016-0086,30/6/2016,2016,6,30,PEATON,PEATON,MASCULINO,75,1/7/2016
2016-0087,3/7/2016,2016,7,3,CONDUCTOR,MOTO,MASCULINO,23,3/7/2016
2016-0088,11/7/2016,2016,7,11,PEATON,PEATON,FEMENINO,70,14/7/2016
2016-0089,14/7/2016,2016,7,14,PEATON,PEATON,MASCULINO,35,14/7/2016
2016-0090,14/7/2016,2016,7,14,PEATON,PEATON,MASCULINO,60,15/7/2016
2016-0092,15/7/2016,2016,7,15,CONDUCTOR,MOTO,MASCULINO,24,15/7/2016
2016-0093,17/7/2016,2016,7,17,CONDUCTOR,AUTO,MASCULINO,35,19/7/2016
2016-0095,23/7/2016,2016,7,23,CONDUCTOR,MOTO,MASCULINO,29,23/7/2016
2016-0096,25/7/2016,2016,7,25,CONDUCTOR,MOTO,MASCULINO,SD,SD
2016-0097,26/7/2016,2016,7,26,PEATON,PEATON,MASCULINO,80,12/8/2016
2016-0098,27/7/2016,2016,7,27,CONDUCTOR,MOTO,FEMENINO,43,SD
2016-0099,29/7/2016,2016,7,29,CONDUCTOR,CARGAS,MASCULINO,45,SD
2016-0100,3/8/2016,2016,8,3,CONDUCTOR,MOTO,MASCULINO,57,3/8/2016
2016-0101,7/8/2016,2016,8,7,SD,SD,MASCULINO,67,SD
2016-0102,10/8/2016,2016,8,10,CONDUCTOR,MOTO,MASCULINO,29,SD
2016-0104,14/8/2016,2016,8,14,CONDUCTOR,MOTO,MASCULINO,21,15/8/2016
2016-0105,17/8/2016,2016,8,17,PEATON,PEATON,MASCULINO,19,26/8/2016
2016-0106,19/8/2016,2016,8,19,PEATON,PEATON,MASCULINO,38,SD
2016-0107,20/8/2016,2016,8,20,CONDUCTOR,MOTO,MASCULINO,21,SD
2016-0109,24/8/2016,2016,8,24,CONDUCTOR,AUTO,FEMENINO,53,24/8/2016
2016-0110,24/8/2016,2016,8,24,PEATON,PEATON,MASCULINO,57,SD
2016-0111,25/8/2016,2016,8,25,CONDUCTOR,MOTO,MASCULINO,27,25/8/2016
2016-0112,27/8/2016,2016,8,27,CONDUCTOR,MOTO,MASCULINO,24,27/8/2016
2016-0113,27/8/2016,2016,8,27,PEATON,PEATON,FEMENINO,60,SD
2016-0114,31/8/2016,2016,8,31,CICLISTA,BICICLETA,FEMENINO,55,31/8/2016
2016-0115,2/9/2016,2016,9,2,SD,SD,MASCULINO,SD,SD
2016-0116,2/9/2016,2016,9,2,CONDUCTOR,MOTO,MASCULINO,30,2/9/2016
2016-0117,3/9/2016,2016,9,3,CONDUCTOR,AUTO,MASCULINO,43,SD
2016-0118,4/9/2016,2016,9,4,CONDUCTOR,AUTO,MASCULINO,27,4/9/2016
2016-0119,4/9/2016,2016,9,4,PASAJERO_ACOMPAÑANTE,SD,FEMENINO,SD,SD
2016-0122,13/9/2016,2016,9,13,CICLISTA,BICICLETA,MASCULINO,49,13/9/2016
2016-0123,14/9/2016,2016,9,14,CONDUCTOR,MOTO,FEMENINO,58,SD
2016-0124,16/9/2016,2016,9,16,PEATON,PEATON,MASCULINO,67,SD
2016-0125,17/9/2016,2016,9,17,CONDUCTOR,MOTO,MASCULINO,30,SD
2016-0126,18/9/2016,2016,9,18,CONDUCTOR,AUTO,MASCULINO,37,SD
2016-0126,18/9/2016,2016,9,18,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,60,SD
2016-0127,24/9/2016,2016,9,24,PEATON,PEATON,MASCULINO,50,SD
2016-0128,2/10/2016,2016,10,2,PEATON,PEATON,FEMENINO,81,2/10/2016
2016-0130,4/10/2016,2016,10,4,CONDUCTOR,MOTO,MASCULINO,29,4/10/2016
2016-0131,9/10/2016,2016,10,9,PEATON,PEATON,MASCULINO,35,SD
2016-0132,10/10/2016,2016,10,10,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30,10/10/2016
2016-0133,14/10/2016,2016,10,14,CONDUCTOR,MOTO,MASCULINO,41,25/10/2016
2016-0134,23/10/2016,2016,10,23,CONDUCTOR,MOTO,MASCULINO,25,23/10/2016
2016-0135,24/10/2016,2016,10,24,PEATON,PEATON,MASCULINO,29,25/10/2016
2016-0136,25/10/2016,2016,10,25,CONDUCTOR,MOTO,SD,SD,SD
2016-0137,25/10/2016,2016,10,25,CONDUCTOR,MOTO,MASCULINO,30,SD
2016-0138,27/10/2016,2016,10,27,CICLISTA,BICICLETA,FEMENINO,33,SD
2016-0139,28/10/2016,2016,10,28,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,35,SD
