N_VICTIMAS,HH,COMUNA,EDAD,TIPO_DE_CALLE_AVENIDA,TIPO_DE_CALLE_CALLE,TIPO_DE_CALLE_GRAL PAZ,ACUSADO_AUTO,ACUSADO_BICICLETA,ACUSADO_CARGAS,ACUSADO_MOTO,ACUSADO_MULTIPLE,ACUSADO_OBJETO FIJO,ACUSADO_OTRO,ACUSADO_PASAJEROS,ACUSADO_TREN,SEXO_FEMENINO,SEXO_MASCULINO
1.0,4,8.0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,1,9.0,70,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1.0,7,1.0,30,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,0,8.0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,5,1.0,29,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,18,8.0,30,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,19,11.0,29,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,15,9.0,18,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1.0,1,1.0,22,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,11,1.0,16,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,5,15.0,16,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1.0,22,4.0,19,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1.0,16,8.0,59,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1.0,9,9.0,65,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1.0,16,1.0,59,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,23,7.0,34,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,6,1.0,41,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,4,8.0,34,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1.0,7,12.0,30,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1.0,9,7.0,34,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,10,1.0,50,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,17,12.0,38,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,12,8.0,21,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1.0,12,4.0,52,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,6,3.0,34,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,0,4.0,36,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1.0,11,7.0,20,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1.0,8,8.0,29,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1.0,1,3.0,20,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2.0,11,7.0,54,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2.0,11,7.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,18,8.0,56,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,19,7.0,24,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1.0,10,13.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,5,1.0,41,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1.0,17,15.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,9,8.0,78,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,4,4.0,36,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,20,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,9,12.0,38,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,21,8.0,30,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1.0,20,14.0,79,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,4,14.0,26,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,14,1.0,57,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1.0,16,1.0,37,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1.0,18,10.0,20,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,14,6.0,20,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,17,8.0,30,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,22,2.0,58,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,3,3.0,30,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,15,10.0,23,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1.0,6,8.0,60,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1.0,23,8.0,42,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,16,15.0,53,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,21,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,23,3.0,30,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1.0,17,13.0,51,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1.0,6,9.0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,7,12.0,40,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,18,4.0,87,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,20,6.0,76,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1.0,22,1.0,57,0,1,0,0,0,0,0,0,0,0,1,0,0,1
